UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,TWF,HDF,PWF,OSF,RNF,Machine_failure,Failure_mode
1,M47000,M,296.23,307.43,1388,46.02,48.0,0,0,0,0,0,0,No_Failure
2,L47001,L,302.26,312.61,1413,24.57,187.9,0,0,0,0,0,0,No_Failure
3,H47002,H,302.37,312.27,1254,45.43,170.7,0,0,0,0,0,0,No_Failure
4,M47003,M,299.05,310.79,1493,38.98,61.8,0,0,0,0,0,0,No_Failure
5,L47004,L,301.04,311.06,1452,40.97,77.8,0,0,0,0,0,0,No_Failure
6,H47005,H,299.57,310.51,1828,49.59,106.1,0,0,1,0,0,1,PWF
7,M47006,M,300.48,312.44,1655,31.79,170.5,0,0,0,0,0,0,No_Failure
8,M47007,M,297.71,308.54,1407,39.75,240.7,0,0,0,0,0,0,No_Failure
9,L47008,L,301.24,310.25,1200,43.03,251.7,0,0,0,0,0,0,No_Failure
10,L47009,L,296.72,305.48,1089,37.01,174.4,0,0,0,0,0,0,No_Failure
11,L47010,L,296.34,306.04,1315,47.17,104.3,0,0,0,0,0,0,No_Failure
12,H47011,H,299.76,310.47,1260,43.3,17.3,0,0,0,0,0,0,No_Failure
13,M47012,M,299.58,310.02,1563,34.2,150.0,0,0,0,0,0,0,No_Failure
14,H47013,H,300.54,312.75,1474,52.61,121.9,0,0,0,0,0,0,No_Failure
15,L47014,L,298.7,309.14,1503,45.62,169.7,0,0,0,0,0,0,No_Failure
16,L47015,L,303.77,313.44,1329,31.57,244.0,0,0,1,0,0,1,PWF
17,M47016,M,300.32,309.19,1527,31.47,42.2,0,0,0,0,0,0,No_Failure
18,L47017,L,300.47,311.65,1244,37.8,93.8,0,0,0,0,0,0,No_Failure
19,H47018,H,300.39,310.39,1484,44.47,145.8,0,0,0,0,0,0,No_Failure
20,M47019,M,302.01,310.5,1649,17.87,88.7,0,0,0,0,0,0,No_Failure
21,M47020,M,301.15,311.17,1434,31.99,44.5,0,0,0,0,0,0,No_Failure
22,L47021,L,300.88,309.89,1580,34.23,151.4,0,0,0,0,0,0,No_Failure
23,H47022,H,301.47,311.05,1144,25.62,10.0,0,0,1,0,0,1,PWF
24,H47023,H,296.35,306.36,1130,29.78,95.4,0,0,0,0,0,0,No_Failure
25,M47024,M,296.43,305.52,1559,41.37,246.1,0,0,0,0,0,0,No_Failure
26,L47025,L,299.85,309.36,1688,35.11,121.0,0,0,0,0,0,0,No_Failure
27,L47026,L,299.6,308.86,1457,35.9,25.7,0,0,0,0,0,0,No_Failure
28,L47027,L,301.16,310.44,1886,26.21,211.1,0,0,0,0,0,0,No_Failure
29,L47028,L,300.04,309.03,1240,37.86,45.3,0,0,0,0,0,0,No_Failure
30,M47029,M,301.16,310.68,1378,24.96,63.5,0,0,0,0,0,0,No_Failure
31,M47030,M,297.51,306.61,1525,54.59,243.5,0,0,0,0,0,0,No_Failure
32,H47031,H,299.98,310.57,1584,57.43,196.1,0,0,1,0,0,1,PWF
33,L47032,L,297.32,307.52,1395,35.27,81.4,0,0,0,0,0,0,No_Failure
34,L47033,L,300.77,311.97,1309,28.78,163.8,0,0,0,0,0,0,No_Failure
35,L47034,L,296.24,308.13,1612,48.55,123.4,0,0,0,0,0,0,No_Failure
36,L47035,L,300.7,311.37,1524,45.92,225.8,1,0,0,0,0,1,TWF
37,L47036,L,297.06,307.51,1438,58.75,141.8,0,0,0,0,0,0,No_Failure
38,L47037,L,299.23,309.97,1590,61.41,167.2,0,0,1,0,0,1,PWF
39,L47038,L,301.79,312.26,1475,19.73,37.7,0,0,0,0,0,0,No_Failure
